subjectID,rating_indiv_datacoll,rating_field_datacoll
1,2,2
2,4,3
3,4,4
4,5,5
5,2,3
6,5,1
7,3,1
8,5,3
9,3,2
10,3,3
11,3,3
12,5,3
13,4,3
14,5,2
15,3,3
16,5,3
17,4,4
18,2,3
19,4,4
20,3,3
21,1,2
22,4,2
24,2,3
25,5,3
26,3,2
27,3,3
28,4,4
29,5,3
30,3,2
31,4,3
32,4,4
33,5,3
34,5,
35,4,3
36,2,3
37,4,4
38,2,3
39,4,3
40,3,4
41,,2
42,5,2
43,2,3
44,3,
45,4,4
46,4,3
47,4,3
48,3,4
51,3,3
52,4,4
53,4,3
54,4,2
55,3,5
56,3,3
57,4,2
58,3,3
59,4,3
60,2,3
61,2,1
62,3,2
63,4,3
64,3,3
65,2,3
66,4,2
67,4,3
68,4,3
69,4,3
70,3,2
71,3,4
72,4,3
73,4,3
74,3,2
75,4,4
76,4,4
77,3,1
78,4,4
79,2,3
83,3,3
89,4,4
92,,
94,3,3
95,3,2
96,3,3
109,,
123,4,3
129,,
132,2,2
133,5,3
135,3,4
137,4,3
140,3,2
142,2,2
150,5,4
152,,
153,,
157,3,2
158,2,3
161,4,4
164,3,3
165,3,3
169,3,4
171,5,1
172,3,3
174,,
179,4,3
180,,
181,5,4
182,5,4
186,,
187,4,3
193,4,3
194,2,2
197,5,4
198,4,3
203,4,3
212,5,3
213,3,3
216,5,3
219,4,4
223,5,2
226,,
230,,
233,4,2
234,3,3
235,4,2
236,3,3
237,4,3
241,4,3
243,3,4
244,5,1
245,5,5
246,4,2
247,4,2
249,4,3
250,5,3
251,3,3
252,5,4
253,5,5
254,4,4
257,,
258,3,4
263,5,3
264,,
265,3,4
268,3,2
